Strain,Time,DO
20046457,1,0.184
20046457,2,0.613
20046457,3,0.859
20046457,4,1.038
20046457,5,1.173
20046457,6,1.293
20046457,7,1.394
20046457,8,1.47
20046457,9,1.525
20046457,10,1.585
20046457,11,1.629
20046457,12,1.675
20046457,13,1.719
20046457,14,1.745
20046457,15,1.781
20046457,16,1.789
20046457,17,1.798
20046457,18,1.779
20046457,19,1.768
20046457,20,1.771
20046457,21,1.754
20046457,22,1.755
20046457,23,1.753
20046457m,1,0.172
20046457m,2,0.259
20046457m,3,0.152
20046457m,4,0.068
20046457m,5,0.042
20046457m,6,0.036
20046457m,7,0.031
20046457m,8,0.03
20046457m,9,0.027
20046457m,10,0.024
20046457m,11,0.025
20046457m,12,0.023
20046457m,13,0.023
20046457m,14,0.024
20046457m,15,0.028
20046457m,16,0.033
20046457m,17,0.045
20046457m,18,0.071
20046457m,19,0.116
20046457m,20,0.214
20046457m,21,0.373
20046457m,22,0.541
20046457m,23,0.587
