Specie	Strain	IsolatedOrigin	MitomicynEffect
S.aureus	20046457	INCMNSZ	2
S.aureus	20064076	INCMNSZ	2
S.aureus	20064077	INCMNSZ	2
S.aureus	20066801	INCMNSZ	2
S.aureus	HDF022	Fac.med	2
S.aureus	HDF024	Fac.med	2
S.aureus	HDF030	Fac.med	2
S.aureus	HDF033	Fac.med	2
S.aureus	INC038	Fac.med	2
S.aureus	INC039	Fac.med	2
S.aureus	INC051	Fac.med	2
S.aureus	INC053	Fac.med	2
S.aureus	INC059	Fac.med	2
S.aureus	INC061	Fac.med	2
S.aureus	INC066	Fac.med	2
S.aureus	INC069	Fac.med	2
S.aureus	INPER 1004	Fac.med	2
S.aureus	INPER 1021	Fac.med	2
S.aureus	INPER 858	Fac.med	2
S.aureus	INPER 883	Fac.med	2
S.aureus	INPER 884	Fac.med	2
S.aureus	INPER 892	Fac.med	2
S.aureus	INPER 923	Fac.med	2
S.aureus	INPER  924	Fac.med	2
S.aureus	INPER 931	Fac.med	2
S.aureus	INPER 950	Fac.med	2
S.aureus	INPER 952	Fac.med	2
S.aureus	INPER 980	Fac.med	2
